iter,iterbc,b1_hidden_neurons,batch_size,lr,R_b,all_train_time,all_bc_learn_time,all_counter_example_time,all_verify_time
2,False,20,250,0.001,0.3,137.31128928397084,12.101053999911528,1.6557322629960254,70.71027480106568,[3.62469609930201*x1**2 - 10.6282632031046*x1*x2 - 4.26934034664764*x1*x3 - 0.750912401857168*x1*x4 + 3.52641216853997*x1*x5 + 7.40960709207964*x1*x6 + 2.47609470584018*x1 + 11.5221502535654*x2**2 + 5.03785420600217*x2*x3 - 2.46417569986858*x2*x4 - 8.26236505380234*x2*x5 - 12.7753077120228*x2*x6 + 5.90090615267058*x2 + 3.25037867408705*x3**2 + 2.72925804834284*x3*x4 - 4.53757962012695*x3*x5 - 4.88880585803738*x3*x6 - 0.439059037914192*x3 + 0.99459702836577*x4**2 - 0.421917872779105*x4*x5 - 0.599106506921532*x4*x6 - 0.5330950257418*x4 + 1.11868675831545*x5**2 + 6.87603372602598*x5*x6 + 0.495947204895533*x5 + 3.46466730941565*x6**2 - 2.90478262207244*x6]
2,False,20,250,0.001,0.4,130.53391871403437,11.85308891593013,1.6337556930375285,70.85297734697815,[3.48530736263368*x1**2 + 0.256945519950272*x1*x2 - 8.74644183703019*x1*x3 - 7.09217352147598*x1*x4 + 4.24246005356288*x1*x5 + 2.33080525477529*x1*x6 + 2.0678497225886*x1 + 20.2988172448334*x2**2 + 30.1193749662581*x2*x3 + 17.4805665046215*x2*x4 - 16.949145881864*x2*x5 - 13.486887906999*x2*x6 - 58.0175210341945*x2 + 0.186508787904489*x3**2 - 5.7025937151241*x3*x4 - 11.1872674690236*x3*x5 - 10.8609334531069*x3*x6 + 6.08605381245115*x3 - 4.26589222799428*x4**2 - 6.86913118010743*x4*x5 - 6.10603122331098*x4*x6 + 16.7923373826147*x4 + 3.99443657087989*x5**2 + 5.86204104760441*x5*x6 + 16.9868748276209*x5 + 3.08089227158462*x6**2 + 16.0111518375123*x6]
2,False,20,250,0.001,0.5,124.59446288493928,11.366037843108643,1.696322167001199,71.04822048603091,[9.26627009933441*x1**2 + 28.4810928631118*x1*x2 - 17.9011478645532*x1*x3 - 14.7551401831872*x1*x4 + 2.55595576089141*x1*x5 + 4.03176265194195*x1*x6 + 20.9604939945901*x1 + 41.9468203401251*x2**2 - 11.6694607008784*x2*x3 - 29.8463582016562*x2*x4 - 15.7732296735175*x2*x5 - 17.9013785912113*x2*x6 - 37.0931709279849*x2 + 8.04145876371032*x3**2 + 7.47069349581753*x3*x4 - 8.73853928012698*x3*x5 - 10.6799644661929*x3*x6 + 25.5527573304729*x3 + 3.8579741405718*x4**2 + 0.984184440591054*x4*x5 - 0.278557094240092*x4*x6 + 28.8524092272575*x4 + 4.31963249792873*x5**2 + 11.0616445207453*x5*x6 + 1.28997048164152*x5 + 5.85670266627751*x6**2 + 2.026457223015*x6]
2,False,20,250,0.001,0.6,130.58405782701448,11.871800250955857,1.6941533780191094,71.61874436604558,[-2.12359612304415*x1**2 + 26.0329520075649*x1*x2 - 14.7046927665297*x1*x3 - 13.8567732373775*x1*x4 - 3.55554553002483*x1*x5 - 4.09409643144159*x1*x6 + 14.187746881871*x1 - 8.60089362236098*x2**2 + 24.1857669918641*x2*x3 + 22.48906475068*x2*x4 + 5.71498759971614*x2*x5 + 9.00674650287584*x2*x6 - 69.9107034904661*x2 + 1.18106293549253*x3**2 - 4.81914643437126*x3*x4 - 11.5152849922081*x3*x5 - 13.4793487617539*x3*x6 + 17.6294562080988*x3 - 2.36600974290857*x4**2 - 7.96956081311371*x4*x5 - 6.08782346330238*x4*x6 + 14.7404838752104*x4 + 0.466889927673394*x5**2 + 0.921639909592954*x5*x6 + 15.3834456406727*x5 + 2.31577522505337*x6**2 + 8.82653908686068*x6]
2,False,20,250,0.001,0.7,131.3878462749999,11.850707874051295,1.7030108618782833,71.8430946909939,[-3.57069425404871*x1**2 - 3.09747487096345*x1*x2 + 4.73364430390601*x1*x3 + 4.22879271503203*x1*x4 - 3.92167620195662*x1*x5 - 0.456727031372435*x1*x6 + 5.48748470397442*x1 - 5.48820384459362*x2**2 - 1.85028450831725*x2*x3 + 3.74321006396501*x2*x4 + 5.80343866904185*x2*x5 + 3.93068075519821*x2*x6 + 2.39078751380143*x2 - 1.09961378689918*x3**2 - 1.08950802567325*x3*x4 + 2.27311942045239*x3*x5 + 2.47987132768308*x3*x6 - 4.36838947832259*x3 - 0.944453063909039*x4**2 + 0.192225812703335*x4*x5 + 0.0275974032220054*x4*x6 - 5.1292515531458*x4 - 2.37837679060561*x5**2 - 2.42868098123708*x5*x6 + 2.72828994680866*x5 - 1.22736618718559*x6**2 - 0.969862671309508*x6]
2,False,20,250,0.001,0.8,131.4931913530454,11.775212733075023,1.7139403050532565,71.54231778607937,[-3.20926434039133*x1**2 + 19.105816521922*x1*x2 + 0.838875858593118*x1*x3 - 6.29286333809188*x1*x4 - 10.4137811586298*x1*x5 - 8.74782283520081*x1*x6 + 12.058404460987*x1 + 23.8128060919857*x2**2 - 3.96094011745567*x2*x3 - 5.5905758284235*x2*x4 - 3.39528054436033*x2*x5 - 2.1855196415709*x2*x6 - 51.5943757780214*x2 + 1.09604174625632*x3**2 + 0.652673338119253*x3*x4 - 0.891891930384922*x3*x5 + 0.817303391303211*x3*x6 + 0.521204943220831*x3 + 1.35425213431045*x4**2 - 0.86595121174693*x4*x5 + 1.80312116349145*x4*x6 + 7.50355418539486*x4 - 1.25972356401738*x5**2 - 1.85595531584454*x5*x6 + 20.0028426990008*x5 - 0.545261750581999*x6**2 + 11.2423211199317*x6]
2,False,20,250,0.01,0.3,131.94309690000955,10.799756092950702,1.4239035520586185,70.53311860887334,[-4.50405187389459*x1**2 - 2.18022823376278*x1*x2 + 3.97776936679543*x1*x3 - 0.784901358068945*x1*x4 - 4.90739821002254*x1*x5 - 6.21693004272319*x1*x6 + 19.1013083856962*x1 + 55.3845478960668*x2**2 + 16.4758113836076*x2*x3 - 6.58923066418165*x2*x4 - 28.1735384076476*x2*x5 - 37.0517071773382*x2*x6 - 53.023054632411*x2 - 0.794487334298714*x3**2 + 0.386496696994522*x3*x4 + 0.120238021688587*x3*x5 + 0.234248110800441*x3*x6 - 19.6827334710479*x3 + 1.13619137968895*x4**2 + 2.60343122466583*x4*x5 + 1.81709210382659*x4*x6 + 0.300438269770474*x4 + 1.22387973717378*x5**2 + 5.96963467096321*x5*x6 + 21.7799255498297*x5 + 1.94478107099543*x6**2 + 31.4511968005882*x6]
2,False,20,250,0.01,0.4,133.44459339807509,10.700252677954268,1.4315741299651563,71.43570037197787,[-1.30129810505577*x1**2 - 6.13291345472113*x1*x2 - 0.240949955330444*x1*x3 - 0.625718152921229*x1*x4 - 1.2371783322905*x1*x5 + 0.290073759187041*x1*x6 + 10.5686225456793*x1 + 9.43115088133622*x2**2 + 6.20498679106083*x2*x3 + 1.66088682930107*x2*x4 - 6.18981742232486*x2*x5 - 8.04896842898502*x2*x6 - 6.51229471360812*x2 + 2.08134833756218*x3**2 + 4.56404855799686*x3*x4 - 0.791406031588681*x3*x5 - 0.680600298276864*x3*x6 - 13.2314937504794*x3 + 1.80860589062959*x4**2 - 0.574848899145293*x4*x5 - 1.43231814212393*x4*x6 - 7.19682776047235*x4 - 0.520081781011417*x5**2 + 1.64026027799814*x5*x6 + 8.25718818289746*x5 - 0.10171103355858*x6**2 + 8.3098306657193*x6]
2,False,20,250,0.01,0.5,133.27990833396325,10.869756033062004,1.4089574250392616,70.68372048804304,[0.641510970802738*x1**2 - 2.03176118032102*x1*x2 + 1.95623031663448*x1*x3 + 2.30309147620494*x1*x4 + 1.55219302616897*x1*x5 + 0.0202719263033934*x1*x6 + 4.97465540093762*x1 - 11.378973112868*x2**2 - 7.54761710477459*x2*x3 - 9.98839217591507*x2*x4 + 6.26903601631716*x2*x5 - 2.47106823038086*x2*x6 + 38.892569402514*x2 + 0.360542082257985*x3**2 + 1.97136314883304*x3*x4 + 3.26860923149307*x3*x5 + 1.56905797189633*x3*x6 - 1.71722152276159*x3 + 2.59815374696522*x4**2 + 5.00506616977872*x4*x5 + 3.8114677087475*x4*x6 - 8.30940991154362*x4 - 0.20191364718862*x5**2 + 1.6714487616685*x5*x6 - 17.3967410065171*x5 + 1.09939051147453*x6**2 - 6.97137492281125*x6]
2,False,20,250,0.01,0.6,132.96265935798874,10.128874405112583,1.4057032761047594,71.09897740691667,[1.50534153552727*x1**2 + 1.18500705751566*x1*x2 - 2.10935262531641*x1*x3 - 0.598559429573437*x1*x4 + 1.82590599372013*x1*x5 + 1.63198587200905*x1*x6 + 5.0436429485021*x1 - 16.4000540365959*x2**2 - 6.28265374922896*x2*x3 + 7.47418451439895*x2*x4 + 16.8596295860033*x2*x5 + 13.4279003598922*x2*x6 - 0.0883612808193233*x2 - 1.40021343396284*x3**2 + 0.167830430206929*x3*x4 + 2.42934609734244*x3*x5 + 2.33134724033739*x3*x6 + 6.12706571207459*x3 - 1.81185962994213*x4**2 - 3.32233186701872*x4*x5 - 4.39868408275888*x4*x6 + 4.5371350863162*x4 - 3.30685655852797*x5**2 - 5.87843518731162*x5*x6 - 5.19461178475797*x5 - 3.28839240530525*x6**2 - 0.379810307743865*x6]
2,False,20,250,0.01,0.7,132.74174563895212,9.169446657120716,1.4193918539094739,71.22031164303189,[-0.0514879801088923*x1**2 - 6.35596954400906*x1*x2 - 0.503465883337365*x1*x3 + 3.97262132316714*x1*x4 + 4.25198308053272*x1*x5 + 3.99266417174515*x1*x6 + 5.21046228804893*x1 - 19.2627603931898*x2**2 + 2.91781960521292*x2*x3 + 6.9189162129881*x2*x4 + 3.20841810693143*x2*x5 + 8.60941663209113*x2*x6 + 23.2468588096005*x2 - 2.96872006110305*x3**2 - 4.30316211622552*x3*x4 + 0.666769757276357*x3*x5 + 0.372236543069734*x3*x6 + 6.8073207761788*x3 - 2.26481360801736*x4**2 + 0.286514740958786*x4*x5 - 0.136405421741357*x4*x6 - 2.3549355633372*x4 + 0.378023514078616*x5**2 + 0.609779733262452*x5*x6 - 9.67764932124565*x5 - 0.348224784615753*x6**2 - 12.8004766108506*x6]
2,False,20,250,0.01,0.8,133.33264003891964,10.560812107054517,1.4926959880976938,71.60739458882017,[-11.1282067528077*x1**2 + 20.7856680993978*x1*x2 + 14.4083622021316*x1*x3 + 7.73451874274949*x1*x4 - 17.543789067594*x1*x5 - 11.7860054483408*x1*x6 + 8.38081092818829*x1 + 3.16081008305466*x2**2 - 10.1660111612836*x2*x3 - 10.2798790740061*x2*x4 + 7.24793849938288*x2*x5 + 3.30051858337377*x2*x6 - 17.2392020064121*x2 + 2.97964390539459*x3**2 + 2.32203825669573*x3*x4 + 4.77253793456038*x3*x5 + 1.03110550162114*x3*x6 - 17.858147163704*x3 - 0.0642817978900983*x4**2 + 5.51306524627826*x4*x5 - 0.496597774120448*x4*x6 - 3.64743545996104*x4 - 4.88329927588029*x5**2 - 2.87247208335912*x5*x6 + 12.5054264437662*x5 - 3.05714658968004*x6**2 + 16.8778175028616*x6]
